K,S,q,r,sigma,t,price
50.0,90.0,0.05455,0.14365,0.001,0.25,0.0
50.0,90.0,0.05455,0.14365,0.001,0.5,0.0
50.0,90.0,0.05455,0.14365,0.001,0.75,0.0
50.0,90.0,0.05455,0.14365,0.001,1.0,0.0
50.0,90.0,0.05455,0.14365,0.1611177812950031,0.25,1.2288935044686555e-14
50.0,90.0,0.05455,0.14365,0.1611177812950031,0.5,1.760048117553112e-08
50.0,90.0,0.05455,0.14365,0.1611177812950031,0.75,2.3179304879240943e-06
50.0,90.0,0.05455,0.14365,0.1611177812950031,1.0,2.805865668633874e-05
50.0,90.0,0.05455,0.14365,0.26330071698522917,0.25,3.072798283994313e-06
50.0,90.0,0.05455,0.14365,0.26330071698522917,0.5,0.001040755472039046
50.0,90.0,0.05455,0.14365,0.26330071698522917,0.75,0.008455985101688572
50.0,90.0,0.05455,0.14365,0.26330071698522917,1.0,0.02550524795284475
50.0,90.0,0.05455,0.14365,0.38590108597281136,0.25,0.002682929309360565
50.0,90.0,0.05455,0.14365,0.38590108597281136,0.5,0.0601617684249874
50.0,90.0,0.05455,0.14365,0.38590108597281136,0.75,0.19509503063631417
50.0,90.0,0.05455,0.14365,0.38590108597281136,1.0,0.3701527022085865
50.0,90.0,0.05455,0.14365,0.7066863283197075,0.25,0.39163532897310427
50.0,90.0,0.05455,0.14365,0.7066863283197075,0.5,1.529410828374408
50.0,90.0,0.05455,0.14365,0.7066863283197075,0.75,2.6934260344712
50.0,90.0,0.05455,0.14365,0.7066863283197075,1.0,3.725574392244397
50.0,90.0,0.05455,0.1882,0.001,0.25,0.0
50.0,90.0,0.05455,0.1882,0.001,0.5,0.0
50.0,90.0,0.05455,0.1882,0.001,0.75,0.0
50.0,90.0,0.05455,0.1882,0.001,1.0,0.0
50.0,90.0,0.05455,0.1882,0.1611177812950031,0.25,4.1045089788910086e-15
50.0,90.0,0.05455,0.1882,0.1611177812950031,0.5,5.412110267494944e-09
50.0,90.0,0.05455,0.1882,0.1611177812950031,0.75,6.586341431522337e-07
50.0,90.0,0.05455,0.1882,0.1611177812950031,1.0,7.3880910129113656e-06
50.0,90.0,0.05455,0.1882,0.26330071698522917,0.25,1.991862465158887e-06
50.0,90.0,0.05455,0.1882,0.26330071698522917,0.5,0.0006424849421093205
50.0,90.0,0.05455,0.1882,0.26330071698522917,0.75,0.004991411348662098
50.0,90.0,0.05455,0.1882,0.26330071698522917,1.0,0.014435253098934954
50.0,90.0,0.05455,0.1882,0.38590108597281136,0.25,0.0021548021687534114
50.0,90.0,0.05455,0.1882,0.38590108597281136,0.5,0.04665343086443201
50.0,90.0,0.05455,0.1882,0.38590108597281136,0.75,0.14664741023567598
50.0,90.0,0.05455,0.1882,0.38590108597281136,1.0,0.27035077981688543
50.0,90.0,0.05455,0.1882,0.7066863283197075,0.25,0.36025953337248845
50.0,90.0,0.05455,0.1882,0.7066863283197075,0.5,1.375946826486569
50.0,90.0,0.05455,0.1882,0.7066863283197075,0.75,2.3768864045604086
50.0,90.0,0.05455,0.1882,0.7066863283197075,1.0,3.2302202916597786
50.0,90.0,0.0991,0.01,0.001,0.25,0.0
50.0,90.0,0.0991,0.01,0.001,0.5,0.0
50.0,90.0,0.0991,0.01,0.001,0.75,0.0
50.0,90.0,0.0991,0.01,0.001,1.0,0.0
50.0,90.0,0.0991,0.01,0.1611177812950031,0.25,8.114823613991068e-13
50.0,90.0,0.0991,0.01,0.1611177812950031,0.5,1.3410521954987695e-06
50.0,90.0,0.0991,0.01,0.1611177812950031,0.75,0.0002019518831727297
50.0,90.0,0.0991,0.01,0.1611177812950031,1.0,0.002775495493630195
50.0,90.0,0.0991,0.01,0.26330071698522917,0.25,1.6101426766037677e-05
50.0,90.0,0.0991,0.01,0.26330071698522917,0.5,0.006168267646270605
50.0,90.0,0.0991,0.01,0.26330071698522917,0.75,0.05593082174622383
50.0,90.0,0.0991,0.01,0.26330071698522917,1.0,0.1865390887057012
50.0,90.0,0.0991,0.01,0.38590108597281136,0.25,0.0061912055962295666
50.0,90.0,0.0991,0.01,0.38590108597281136,0.5,0.153879191266286
50.0,90.0,0.0991,0.01,0.38590108597281136,0.75,0.5451914880549704
50.0,90.0,0.0991,0.01,0.38590108597281136,1.0,1.120021853708951
50.0,90.0,0.0991,0.01,0.7066863283197075,0.25,0.536642111714032
50.0,90.0,0.0991,0.01,0.7066863283197075,0.5,2.2496739378222266
50.0,90.0,0.0991,0.01,0.7066863283197075,0.75,4.204352130725176
50.0,90.0,0.0991,0.01,0.7066863283197075,1.0,6.132378198409191
50.0,90.0,0.0991,0.05455,0.001,0.25,0.0
50.0,90.0,0.0991,0.05455,0.001,0.5,0.0
50.0,90.0,0.0991,0.05455,0.001,0.75,0.0
50.0,90.0,0.0991,0.05455,0.001,1.0,0.0
50.0,90.0,0.0991,0.05455,0.1611177812950031,0.25,2.9185892023878547e-13
50.0,90.0,0.0991,0.05455,0.1611177812950031,0.5,4.764254750955759e-07
50.0,90.0,0.0991,0.05455,0.1611177812950031,0.75,7.095178814418169e-05
50.0,90.0,0.0991,0.05455,0.1611177812950031,1.0,0.0009652221750178323
50.0,90.0,0.0991,0.05455,0.26330071698522917,0.25,1.071890229595162e-05
50.0,90.0,0.0991,0.05455,0.26330071698522917,0.5,0.0040067968322521404
50.0,90.0,0.0991,0.05455,0.26330071698522917,0.75,0.0355521146804992
50.0,90.0,0.0991,0.05455,0.26330071698522917,1.0,0.11625770095785799
50.0,90.0,0.0991,0.05455,0.38590108597281136,0.25,0.005031386586348274
50.0,90.0,0.0991,0.05455,0.38590108597281136,0.5,0.12201013702508878
50.0,90.0,0.0991,0.05455,0.38590108597281136,0.75,0.4231876604138527
50.0,90.0,0.0991,0.05455,0.38590108597281136,1.0,0.8528912542953246
50.0,90.0,0.0991,0.05455,0.7066863283197075,0.25,0.49520631874543725
50.0,90.0,0.0991,0.05455,0.7066863283197075,0.5,2.0359000506334763
50.0,90.0,0.0991,0.05455,0.7066863283197075,0.75,3.74194033553675
50.0,90.0,0.0991,0.05455,0.7066863283197075,1.0,5.376035434560167
50.0,90.0,0.0991,0.0991,0.001,0.25,0.0
50.0,90.0,0.0991,0.0991,0.001,0.5,0.0
50.0,90.0,0.0991,0.0991,0.001,0.75,0.0
